comparable_name,team_id,season,x_game_score_vs_baseline,WINS,LOSSES,y_actual_diff_points_pg
SAS 2016-17,1610612759,2016-17,25.497938573798308,61,21,7.2
TOR 2016-17,1610612761,2016-17,15.230618467931038,51,31,4.2
UTA 2016-17,1610612762,2016-17,25.4697673650397,51,31,3.9
WAS 2016-17,1610612764,2016-17,16.503909598592315,49,33,1.8
ATL 2017-18,1610612737,2017-18,-28.545851918587275,24,58,-5.5
BOS 2017-18,1610612738,2017-18,4.633488025776657,55,27,3.6
BKN 2017-18,1610612751,2017-18,-13.537981156304994,28,54,-3.7
CHA 2017-18,1610612766,2017-18,16.911796050655084,36,46,0.3
CHI 2017-18,1610612741,2017-18,-15.415128065258841,27,55,-7.0
CLE 2017-18,1610612739,2017-18,18.18327903702479,50,32,0.9
DAL 2017-18,1610612742,2017-18,-13.976217573754823,24,58,-3.0
DEN 2017-18,1610612743,2017-18,26.976349217073107,46,36,1.5
DET 2017-18,1610612765,2017-18,-1.5978465386702965,39,43,-0.1
GSW 2017-18,1610612744,2017-18,45.6073312950688,58,24,6.0
HOU 2017-18,1610612745,2017-18,19.723337031284103,65,17,8.5
IND 2017-18,1610612754,2017-18,5.089074682926054,48,34,1.4
LAC 2017-18,1610612746,2017-18,2.2931073690235166,42,40,0.0
LAL 2017-18,1610612747,2017-18,-50.55456558353126,35,47,-1.5
MEM 2017-18,1610612763,2017-18,-11.825928903785666,22,60,-6.2
MIA 2017-18,1610612748,2017-18,8.239210355234405,44,38,0.5
MIL 2017-18,1610612749,2017-18,20.026466880862174,44,38,-0.3
MIN 2017-18,1610612750,2017-18,14.031434615330099,47,35,2.2
NOP 2017-18,1610612740,2017-18,-0.07749853931306916,48,34,1.3
NYK 2017-18,1610612752,2017-18,-16.460310402276505,29,53,-3.6
OKC 2017-18,1610612760,2017-18,5.850957921347231,48,34,3.4
ORL 2017-18,1610612753,2017-18,-8.029908045458441,25,57,-4.8
PHI 2017-18,1610612755,2017-18,-1.269131204822827,52,30,4.5
PHX 2017-18,1610612756,2017-18,-4.770792838834723,21,61,-9.4
POR 2017-18,1610612757,2017-18,7.65871178039751,49,33,2.6
SAC 2017-18,1610612758,2017-18,-47.68373595792046,27,55,-7.0
SAS 2017-18,1610612759,2017-18,24.881855155511573,47,35,2.9
TOR 2017-18,1610612761,2017-18,-12.477315759762789,59,23,7.8
UTA 2017-18,1610612762,2017-18,-10.782157284348855,48,34,4.3
WAS 2017-18,1610612764,2017-18,16.897970355115618,43,39,0.6
ATL 2018-19,1610612737,2018-19,-47.08391674851407,29,53,-6.0
BOS 2018-19,1610612738,2018-19,17.16095385465134,49,33,4.4
BKN 2018-19,1610612751,2018-19,-4.301974983118683,42,40,-0.1
CHA 2018-19,1610612766,2018-19,3.7846835895600037,39,43,-1.1
CHI 2018-19,1610612741,2018-19,-29.21468684177431,22,60,-8.4
CLE 2018-19,1610612739,2018-19,-25.263020103419365,19,63,-9.6
DAL 2018-19,1610612742,2018-19,-22.82466290760111,33,49,-1.3
DEN 2018-19,1610612743,2018-19,21.989186040112983,54,28,4.0
DET 2018-19,1610612765,2018-19,6.1284673824577425,41,41,-0.2
GSW 2018-19,1610612744,2018-19,35.71266446097211,57,25,6.5
HOU 2018-19,1610612745,2018-19,23.84090722981425,53,29,4.8
IND 2018-19,1610612754,2018-19,9.554879687552841,48,34,3.3
LAC 2018-19,1610612746,2018-19,-28.475981283762295,48,34,0.9
LAL 2018-19,1610612747,2018-19,13.198493411215011,37,45,-1.7
MEM 2018-19,1610612763,2018-19,-18.58188324880892,33,49,-2.6
MIA 2018-19,1610612748,2018-19,-1.8407267631904318,39,43,-0.2
MIL 2018-19,1610612749,2018-19,19.033161400490755,60,22,8.9
MIN 2018-19,1610612750,2018-19,13.31431147810737,36,46,-1.5
NOP 2018-19,1610612740,2018-19,-13.234505436925517,33,49,-1.3
NYK 2018-19,1610612752,2018-19,-25.29368844763978,17,65,-9.2
OKC 2018-19,1610612760,2018-19,15.249964315729045,49,33,3.4
ORL 2018-19,1610612753,2018-19,-10.399558880941214,42,40,0.7
PHI 2018-19,1610612755,2018-19,23.48190796524038,51,31,2.7
PHX 2018-19,1610612756,2018-19,-52.9745279904713,19,63,-9.3
POR 2018-19,1610612757,2018-19,7.983309829842014,53,29,4.2
SAC 2018-19,1610612758,2018-19,-2.792390906860291,39,43,-1.1
SAS 2018-19,1610612759,2018-19,10.833350565179089,48,34,1.7
TOR 2018-19,1610612761,2018-19,21.572550313438768,58,24,6.1
UTA 2018-19,1610612762,2018-19,27.902336185771603,50,32,5.3
WAS 2018-19,1610612764,2018-19,11.540396832892426,32,50,-2.9
ATL 2019-20,1610612737,2019-20,-4.505811448588759,20,47,-8.0
BOS 2019-20,1610612738,2019-20,14.985842003569246,48,24,6.3
BKN 2019-20,1610612751,2019-20,11.257468317006499,35,37,-0.6
CHA 2019-20,1610612766,2019-20,-25.168227434822313,23,42,-6.8
CHI 2019-20,1610612741,2019-20,-21.4919239033686,22,43,-3.1
CLE 2019-20,1610612739,2019-20,-36.17596444294115,19,46,-7.9
DAL 2019-20,1610612742,2019-20,15.92789568964919,43,32,4.9
DEN 2019-20,1610612743,2019-20,25.839903088638877,46,27,2.1
DET 2019-20,1610612765,2019-20,-14.834180213802412,20,46,-3.6
GSW 2019-20,1610612744,2019-20,-44.617695969635705,15,50,-8.7
HOU 2019-20,1610612745,2019-20,15.978164781264098,44,28,3.0
IND 2019-20,1610612754,2019-20,19.67666733780652,45,28,2.0
LAC 2019-20,1610612746,2019-20,19.56142429669316,49,23,6.4
LAL 2019-20,1610612747,2019-20,8.920108933656252,52,19,5.8
MEM 2019-20,1610612763,2019-20,-30.767094002800803,34,39,-1.1
MIA 2019-20,1610612748,2019-20,-24.236920131157618,44,29,2.9
MIL 2019-20,1610612749,2019-20,24.70432039408385,56,17,10.1
MIN 2019-20,1610612750,2019-20,-9.792574021234003,19,45,-4.3
NOP 2019-20,1610612740,2019-20,-4.169614256361271,30,42,-1.3
NYK 2019-20,1610612752,2019-20,-12.692572612135478,21,45,-6.5
OKC 2019-20,1610612760,2019-20,-9.798431747028701,44,28,2.0
ORL 2019-20,1610612753,2019-20,6.197369670666774,33,40,-1.0
PHI 2019-20,1610612755,2019-20,9.919666787800168,43,30,2.4
PHX 2019-20,1610612756,2019-20,7.505812543689956,34,39,0.2
POR 2019-20,1610612757,2019-20,3.1491753947198333,35,39,-1.1
SAC 2019-20,1610612758,2019-20,17.252025443619715,31,41,-2.0
SAS 2019-20,1610612759,2019-20,9.152694993202104,32,39,-1.1
TOR 2019-20,1610612761,2019-20,11.605928684936785,53,19,6.2
UTA 2019-20,1610612762,2019-20,21.825598182185132,44,28,2.5
WAS 2019-20,1610612764,2019-20,-5.209056359311859,25,47,-4.7
ATL 2020-21,1610612737,2020-21,15.54378365930522,41,31,2.3
BOS 2020-21,1610612738,2020-21,3.3629740066873097,36,36,1.5
BKN 2020-21,1610612751,2020-21,28.57596573967298,48,24,4.5
CHA 2020-21,1610612766,2020-21,-11.955898414557083,33,39,-1.9
CHI 2020-21,1610612741,2020-21,-1.6479290098239545,31,41,-0.9
CLE 2020-21,1610612739,2020-21,-16.41118016487067,22,50,-8.4
DAL 2020-21,1610612742,2020-21,26.68775239839691,42,30,2.3
DEN 2020-21,1610612743,2020-21,25.569810462273594,47,25,4.9
DET 2020-21,1610612765,2020-21,-39.08960048298605,20,52,-4.5
GSW 2020-21,1610612744,2020-21,-15.02783995279458,39,33,1.1
HOU 2020-21,1610612745,2020-21,-30.081044941613627,17,55,-7.9
IND 2020-21,1610612754,2020-21,15.061573646746822,34,38,0.0
LAC 2020-21,1610612746,2020-21,1.144210853670529,47,25,6.2
LAL 2020-21,1610612747,2020-21,1.2403259980296326,42,30,2.8
MEM 2020-21,1610612763,2020-21,1.2480784060470427,38,34,1.0
MIA 2020-21,1610612748,2020-21,12.30763645224961,40,32,0.0
MIL 2020-21,1610612749,2020-21,24.972308457729767,46,26,5.9
MIN 2020-21,1610612750,2020-21,-3.5023917336788912,23,49,-5.6
NOP 2020-21,1610612740,2020-21,-3.543449343557043,31,41,-0.3
NYK 2020-21,1610612752,2020-21,-28.359232353265995,41,31,2.3
OKC 2020-21,1610612760,2020-21,-41.08528648851541,22,50,-10.6
ORL 2020-21,1610612753,2020-21,-36.85366511801632,21,51,-9.3
PHI 2020-21,1610612755,2020-21,24.128701864091013,49,23,5.6
PHX 2020-21,1610612756,2020-21,17.915937279752498,51,21,5.8
POR 2020-21,1610612757,2020-21,11.019775909440554,42,30,1.8
SAC 2020-21,1610612758,2020-21,3.9836143960847323,31,41,-3.7
SAS 2020-21,1610612759,2020-21,0.19012871937540865,33,39,-1.7
TOR 2020-21,1610612761,2020-21,-2.9053913681533032,27,45,-0.5
UTA 2020-21,1610612762,2020-21,19.745411028825757,52,20,9.3
WAS 2020-21,1610612764,2020-21,-2.2350799065464884,34,38,-1.8
ATL 2021-22,1610612737,2021-22,15.177816682488,43,39,1.6
BOS 2021-22,1610612738,2021-22,19.363463247374582,51,31,7.3
BKN 2021-22,1610612751,2021-22,3.4215798018662724,44,38,0.8
CHA 2021-22,1610612766,2021-22,11.668469611761296,43,39,0.4
CHI 2021-22,1610612741,2021-22,6.648025683811923,46,36,-0.4
CLE 2021-22,1610612739,2021-22,-14.089312431081453,44,38,2.1
DAL 2021-22,1610612742,2021-22,17.60660948117342,52,30,3.3
DEN 2021-22,1610612743,2021-22,22.256462061492925,48,34,2.3
DET 2021-22,1610612765,2021-22,-26.19378717248283,23,59,-7.7
GSW 2021-22,1610612744,2021-22,5.4294676723572906,53,29,5.5
HOU 2021-22,1610612745,2021-22,-39.198480821871186,20,62,-8.5
IND 2021-22,1610612754,2021-22,-4.5712972718281435,25,57,-3.5
LAC 2021-22,1610612746,2021-22,9.32983708507912,42,40,0.0
LAL 2021-22,1610612747,2021-22,-13.25554465188661,33,49,-3.0
MEM 2021-22,1610612763,2021-22,16.450561704673973,56,26,5.7
MIA 2021-22,1610612748,2021-22,1.7719225561479988,53,29,4.5
MIL 2021-22,1610612749,2021-22,23.809023874496106,51,31,3.4
MIN 2021-22,1610612750,2021-22,-5.77502966708677,46,36,2.6
NOP 2021-22,1610612740,2021-22,-4.662322366941353,36,46,-1.0
